territorial;municipios;Longitud ;Latitud
Aburrá Sur;Amagá;-75,708238918275;6,032461397262
Zenufaná;Amalfi;-74,980572645701;6,976614164216
Citará;Andes;-75,931405796033;5,620412919778
Aburrá Sur;Angelópolis;-75,716117451191;6,120993548755
Tahamíes;Angostura;-75,355085989022;6,862086113557
Tahamíes;Anorí;-75,10843287876;7,192610938477
Hevéxicos;Anzá;-75,913321361568;6,308493610994
Aburrá Sur;Armenia;-75,809722208149;6,16397636915
Aburrá Norte;Barbosa;-75,328954278899;6,442472476112
Aburrá Norte;Bello;-75,589805629804;6,357339056893
Tahamíes;Belmira;-75,653593827029;6,654487156608
Citará;Betania;-75,990345963841;5,724337736341
Citará;Betulia;-75,957324515533;6,186066785529
Tahamíes;Briceño;-75,562366006998;7,113131118037
Hevéxicos;Buriticá;-75,911919806081;6,809346352494
Panzenú;Cáceres;-75,222403498292;7,667828677968
Hevéxicos;Caicedo;-75,994192469967;6,424271359017
Aburrá Sur;Caldas;-75,626927326762;6,054551527751
Tahamíes;Campamento;-75,292677457027;7,037466732254
Zenufaná;Caracolí;-74,738651271035;6,340785752304
Cartama;Caramanta;-75,631288487202;5,554057002181
Tahamíes;Carolina del Principe;-75,310804505676;6,754188516906
Panzenú;Caucasia;-75,034758225509;7,891271303057
Zenufaná;Cisneros;-75,082672949547;6,55033520661
Citará;Ciudad Bolívar;-76,010416670256;5,841936859629
Citará;Concordia;-75,900093815669;6,057890916534
Aburrá Norte;Copacabana;-75,500668818882;6,352981293088
Tahamíes;Don Matías;-75,363713154098;6,506729052926
Hevéxicos;Ebéjico;-75,783783872034;6,326520631725
Panzenú;El Bagre;-74,660102207384;7,70599827878
Tahamíes;Entrerrios;-75,558897702497;6,59491334858
Aburrá Sur;Envigado;-75,54678626352;6,154121714832
Cartama;Fredonia;-75,677200877278;5,887584538583
Aburrá Norte;Girardota;-75,447018710638;6,378813241147
Tahamíes;Gomez Plata;-75,192887354506;6,709409050194
Tahamíes;Guadalupe;-75,2243926548;6,862437969299
Aburrá Sur;Heliconia;-75,749702159281;6,214504329862
Citará;Hispania;-75,906637925507;5,795677563334
Aburrá Sur;Itaguí;-75,614337022263;6,17890085184
Tahamíes;Ituango;-75,837762043368;7,305457814265
Citará;Jardín;-75,817542209984;5,57706561648
Cartama;Jericó;-75,76612621042;5,773424119002
Aburrá Sur;La Estrella;-75,649854943787;6,137849553119
Cartama;La Pintada;-75,602164704193;5,748152804415
Hevéxicos;Liborina;-75,782438794011;6,724247227734
Zenufaná;Maceo;-74,723979840897;6,542870131582
Aburrá Norte;Medellín;-75,610909444019;6,257378397506
Cartama;Montebello;-75,528391570601;5,925610997004
Panzenú;Nechí;-74,786446875463;7,994800115288
Hevéxicos;Olaya;-75,774849472315;6,61104512044
Cartama;Pueblo Rico;-75,861288424006;5,810057597069
Zenufaná;Puerto Berrío;-74,528519806211;6,481056523398
Zenufaná;Puerto Nare;-74,688928723223;6,13821113491
Zenufaná;Remedios;-74,553611648965;6,998366749918
Hevéxicos;Sabanalarga;-75,792107269979;6,900937886463
Aburrá Sur;Sabaneta;-75,609696778536;6,138348266341
Citará;Salgar;-75,9814391323;5,970850870716
Tahamíes;San Andrés de Cuerquia;-75,664735962686;6,915419032412
Hevéxicos;San Jerónimo;-75,706288916394;6,438916169467
Tahamíes;San José de La Montaña;-75,677829978575;6,824396248186
Tahamíes;San Pedro de Los Milagros;-75,565113061994;6,456075221238
Cartama;Santa Bárbara;-75,583259153269;5,870888294528
Hevéxicos;Santa Fe de Antioquia;-75,904809965052;6,536156278552
Tahamíes;Santa Rosa de Osos;-75,438448399234;6,674483695139
Zenufaná;Segovia;-74,641684184405;7,267995937944
Hevéxicos;Sopetrán;-75,746809765857;6,51893289869
Cartama;Támesis;-75,710031885135;5,674011287115
Panzenú;Tarazá;-75,404558184881;7,490442931836
Cartama;Tarso;-75,832117821327;5,875032800372
Aburrá Sur;Titiribí;-75,800181452592;6,058152481408
Tahamíes;Toledo;-75,710516600024;7,013934666104
Panzenú;Valdivia;-75,398467082896;7,26909283952
Cartama;Valparaiso;-75,630375960546;5,650655766832
Zenufaná;Vegachí;-74,752434464915;6,837055068071
Cartama;Venecia;-75,774491296282;5,955167275269
Zenufaná;Yalí;-74,755571961069;6,716794861005
Tahamíes;Yarumal;-75,459581300209;6,986519284599
Zenufaná;Yolombó;-74,930206625769;6,650081246938
Zenufaná;Yondó;-74,155178148575;6,929403103455
Panzenú;Zaragoza;-74,867842882106;7,490085203288
